aic_exp,aic_hyp,aic_harm,aic_hyp2exp,bic_exp,bic_hyp,bic_harm,bic_hyp2exp,rmse_for_exp,rmse_for_hyp,rmse_for_harm,rmse_for_hyp2exp,negslope_exp_percentage,negslope_hyp_percentage,negslope_harm_percentage,negslope_hyp2exp_percentage,WELL_NUM,best_model,All_outliers
-24.609430319505524,-23.410371707521524,-23.429007842521305,-23.930234561334217,5660.036598548486,5142.043278171398,5150.094088491304,5366.624031018481,26.352712094394615,19.52716440280087,19.618354384443382,22.2373266135447,0.9988610478359908,0.9988610478359908,0.9988610478359908,0.9988610478359908,WellNum-17646_oil,hyp,[423.93 458.37 485.17 475.78 472.58 466.35 454.13 472.25 425.05 450.4 ]
-24.87779523877785,-24.865156986272037,-24.874729521867934,-24.876333496592416,785.1159946825424,784.5662306985395,784.982635996961,785.052408897476,88.8095998316346,88.52944311421182,88.74155963597092,88.77715157623231,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9886363636363636,WellNum-17646_gas,hyp,"[1.0810e+01 2.2100e+00 9.7013e+02 1.1550e+01 4.5800e+00 2.4650e+01
 2.0000e-02 1.2360e+01 2.9000e-01 6.4400e+00]"
-24.270054462045106,-23.450938822732887,-24.364569744379853,-23.45079779159828,5652.778355246493,5288.271895752556,5694.837655885456,5288.209136897656,23.852830371442195,19.43594087143346,24.42315614826388,19.43525561531553,0.9988839285714286,0.9988839285714286,0.9988839285714286,0.9988839285714286,WellNum-17647_oil,hyp2exp,[511.84 454.22 488.91 525.91 552.06 493.09 535.92 501.73 465.   516.6 ]
-23.374956715674344,-23.278313456464065,-23.354371014381016,-23.365303135639156,777.2460161840806,772.6554613715924,776.2681953726474,776.7874711324092,58.369922595747035,56.97655789920717,58.07029780759184,58.229222766315516,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9894736842105263,WellNum-17647_gas,hyp,"[  68.67   96.8    43.35   82.08   23.52 1124.52   16.04   52.69  128.84
  132.29]"
-24.871640018977327,-24.01560516680641,-24.2929103698849,-24.202819734414387,5841.332998742728,5466.389733491866,5587.849412440245,5548.389714104159,27.94468328865952,22.560898348141873,24.18045221414874,23.641931362815825,0.9988713318284425,0.9988713318284425,0.9988713318284425,0.9988713318284425,WellNum-17644_oil,hyp,[608.63 605.6  569.42 527.14 571.83 509.47 509.65 560.23  -4.13   4.41]
-26.41491559299709,-26.38531051289405,-26.406029702530446,-26.41058508480863,2352.8596501537936,2348.818556719729,2351.646726105097,2352.2685357860687,73.62561541075821,73.08270394580076,73.46223965680771,73.54594946019168,0.9963898916967509,0.9963898916967509,0.9963898916967509,0.9963898916967509,WellNum-17644_gas,hyp,"[  10.69   90.63   51.6   104.54 1598.06   45.4  1189.32   25.95 1217.36
   19.03]"
-23.87307357636351,-22.87084184977669,-22.93530619014514,-23.44827784610235,5206.955678392807,4787.020584952929,4814.031143567312,5028.966267413381,22.25928764693267,17.325881295392406,17.607368818588665,20.01656961462565,0.9988412514484357,0.9988412514484357,0.9988412514484357,0.9988412514484357,WellNum-17662_oil,hyp,[475.23 440.35 432.59 437.86 457.55 433.13 441.65   1.     0.89   1.44]
-20.878713554836963,-20.816357260434316,-20.853167189644207,-20.86614014450486,258.6216038905999,257.6239031801575,258.2128620475158,258.42042932528625,53.88275257144551,53.04928375814992,53.539722016703955,53.71364600199589,0.96875,0.96875,0.96875,0.96875,WellNum-17662_gas,hyp,"[  23.55   10.1     1.52 1081.74   30.29 1048.55    3.28    6.53    9.13
    2.93]"
-20.0476789335522,-17.542371093757307,-19.788367403866292,-20.08610342451377,1553.9587197219123,1191.9417368715506,1516.4882036822987,1559.5110586658589,14.566238061892365,7.786406285597016,13.651897280907656,14.706837358451917,0.9982547993019197,0.9982547993019197,0.9982547993019197,0.9982547993019197,WellNum-17720_oil,hyp,[417.5  307.54 321.62 291.57 324.79 284.  ]
-24.84306182916389,-24.569592990091806,-24.94594999631786,-24.88071822744022,2685.9137772022937,2637.3730582669987,2704.176426872123,2692.5977878963413,43.58471705100913,40.704528547622665,44.72034772148439,43.99696534563375,0.9983739837398374,0.9983739837398374,0.9983739837398374,0.9983739837398374,WellNum-17720_gas,hyp,[449.21 452.65 475.85 460.43 376.12 364.05 350.64]
-24.231983017474743,-23.168711570652555,-23.195638116028327,-23.80824970946408,7313.495465205483,6667.558061261004,6683.915937576785,7056.077480589005,20.221493562775063,15.501367018462883,15.606068595156238,18.188922400816658,0.9992076069730587,0.9992076069730587,0.9992076069730587,0.9992076069730587,WellNum-16937_oil,hyp,"[309.   311.   322.   325.   320.   290.   305.   295.   292.   291.
 313.   309.   311.69]"
-28.808754274565253,-28.889689789107386,-28.880786417200383,-28.83211396333455,8044.273212411036,8082.272436488567,8078.092303378229,8055.240586288221,72.22460873547546,73.70087766001194,73.53701351467427,72.64762883083624,0.9989733059548255,0.9989733059548255,0.9989733059548255,0.9989733059548255,WellNum-16937_gas,exp,"[9.00000e-01 9.00000e-01 9.66050e+02 9.75000e+02 9.82220e+02 9.79260e+02
 1.12044e+03 1.30061e+03 1.12342e+03 2.08000e+00 3.57000e+00 1.56000e+00
 3.20000e-01]"
-24.07371451473577,-22.57114104129082,-22.543865680649017,-23.351723983708098,7687.42528067885,6702.488368835685,6684.609369934985,7214.160487590212,18.711828926700267,12.852168069109375,12.764829302288833,15.621657520415267,0.9993265993265993,0.9993265993265993,0.9993265993265993,0.9993265993265993,WellNum-17025_oil,harm,"[327.72 369.54 394.   356.38 373.36 386.24 376.69 649.22 341.81 333.68
 340.58 335.24 329.04 333.84 571.01 412.58]"
-27.79982443735497,-27.672564937211348,-27.683927282848614,-27.737290465944927,7145.249700049925,7089.319149736802,7094.31290064438,7117.766019615211,58.00699811923752,56.190560797886256,56.35040185490888,57.1071979646996,0.9990645463049579,0.9990645463049579,0.9990645463049579,0.9990645463049579,WellNum-17025_gas,hyp,"[ 891.91  951.2  1036.2   910.92  921.28  889.86  898.74  904.7   896.09
  883.94  880.79  901.23  857.62  896.74  881.22]"
-22.961032229489458,-21.390425898406683,-21.463372694834472,-22.36653696481081,7632.915717088534,6478.520063742695,6532.135959117121,7195.961697549729,13.379841619012616,9.034925106223689,9.201203896621621,11.531995635601902,0.9993297587131368,0.9993297587131368,0.9993297587131368,0.9993297587131368,WellNum-19555_oil,hyp,"[239.25 235.22 236.17 232.86 230.93 250.96 258.29 237.47 250.91 247.65
 231.71 240.75 238.   225.   236.   222.  ]"
